系列,编号,派系,卡牌名称,备用卡牌名称,图片链接,类型,独有,卡牌费用,初始威胁,意志力,攻击力,防御力,生命值,任务点,属性,警戒,远攻,限制,隐匿,厄运,遭遇,守护,协同,种族,规则文字,功能,人数,精神,战术,领导,学识,中立,1352
基础,33,战术,箭雨,箭雨,51223bd0-ffd1-11df-a976-0801200c9033,事件,,1,,,,,,,,,,,,,,,,,行动：横置一名你控制的具有“远攻”关键词的角色，以选择一名玩家。对于该玩家交锋的每个敌军造成1点伤害。,攻击,,,,,,,
基础,34,战术,佯攻,佯攻,51223bd0-ffd1-11df-a976-0801200c9034,事件,,1,,,,,,,,,,,,,,,,,战斗行动：选择一个与玩家交锋的敌军。该敌军本阶段不能攻击该玩家。,防御,,,,,,,
基础,35,战术,先发制人,先发制人,51223bd0-ffd1-11df-a976-0801200c9035,事件,,1,,,,,,,,,,,,,,,,,行动：横置一名你控制的角色，以立即宣告其为攻击者（并结算此次攻击）攻击任一合理的敌军目标。,攻击,,,,,,,
基础,36,战术,密集的长矛,长枪方阵,51223bd0-ffd1-11df-a976-0801200c9036,事件,,3,,,,,,,,,,,,,,,,,"你必须使用来自三名不同英雄的资源池中的资源标记，以支付本卡牌。 
行动：选择一位玩家。与该玩家交锋的敌军本阶段不能攻击该玩家。",防御,多人,,,,,,
基础,37,战术,迅猛一击,迅猛一击,51223bd0-ffd1-11df-a976-0801200c9037,事件,,2,,,,,,,,,,,,,,,,,响应：在一名角色被宣告为防御者后，对攻击的敌军造成2点伤害。,防御,,,,,,,
基础,38,战术,并肩作战,并肩作战,51223bd0-ffd1-11df-a976-0801200c9038,事件,,0,,,,,,,,,,,,,,,,,行动：选择一位玩家。该玩家本阶段可以像每个攻击他的敌军宣告他任意数量的合理角色为防御者。,防御,,,,,,,
基础,39,战术,刚多林剑,贡多林之剑,51223bd0-ffd1-11df-a976-0801200c9039,附属,,1,,,,,,,"物品.
武器.",,,√,,,,,,,"限制.
附属到一名英雄上。 
当攻击半兽人时，所附属英雄获得+1【攻击力】。 
响应：在所附属英雄攻击并消灭敌军后，放置1枚进度标记到当前任务上。",攻击,,,,,,,
基础,40,战术,王城板甲,都城铠甲,51223bd0-ffd1-11df-a976-0801200c9040,附属,,4,,,,,,,物品.防具.,,,√,,,,,,,"限制. 
附属到一名英雄上。 
所附属英雄获得+4生命值。",防御,,,,,,,
基础,41,战术,矮人斧,矮人战斧,51223bd0-ffd1-11df-a976-0801200c9041,附属,,2,,,,,,,"物品.
武器.",,,√,,,,,,,"限制. 
附属到一名英雄上 。 
所附属英雄获得+1【攻击力】。（如果所附属英雄是矮人，则以+2【攻击力】代替。）",攻击,,,,,,,
基础,42,战术,刚铎号角,刚铎的号角,51223bd0-ffd1-11df-a976-0801200c9042,附属,*,1,,,,,,,物品.宝物.,,,√,,,,,,,"限制. 
附属到一名英雄上。 
响应：在一名角色被消灭后，增加1枚资源标记到所附属英雄的资源池中。",,,,,,,,
基础,43,精神,漫游的图克,流浪的图克,51223bd0-ffd1-11df-a976-0801200c9043,盟友,,2,,1,1,1,2,,哈比人.,,,,,,,,,哈比人,行动：下降3点你的威胁等级，以使流浪的图克交由另一位玩家控制。该玩家的威胁等级上升3点（每个回合限制1次）。,,多人,,,,,,
基础,44,精神,罗瑞恩向导,罗瑞安引路人,51223bd0-ffd1-11df-a976-0801200c9044,盟友,,3,,1,1,0,2,,西尔凡精灵.斥候.,,,,,,,,,西尔凡精灵,响应：在指派罗瑞安引路人执行任务后，放置1枚进度标记到激活的地区上。,任务,,,,,,,
基础,45,精神,北方的追踪者,北方的追踪者,51223bd0-ffd1-11df-a976-0801200c9045,盟友,,4,,1,2,2,3,,登丹人. 游侠.,,,,,,,,,登丹人,响应：在指派北方的追踪者执行任务后，在场景区的每个地区上放置1枚进度标记。,任务,,,,,,,
基础,46,精神,加拉兹民的问候,凯兰崔姆的祝福,51223bd0-ffd1-11df-a976-0801200c9046,事件,,3,,,,,,,,,,,,,,,,,行动：一位玩家的威胁等级下降6点，或每位玩家的威胁等级下降2点。,,,,,,,,
基础,47,精神,意志之力,坚强的意志,51223bd0-ffd1-11df-a976-0801200c9047,事件,,0,,,,,,,,,,,,,,,,,响应：在你探索到一个地区后，横置一名【精神】角色，以放置2枚进度标记到该地区上。,任务,,,,,,,
基础,48,精神,仓促的攻击,轻率出击,51223bd0-ffd1-11df-a976-0801200c9048,事件,,1,,,,,,,,,,,,,,,,,响应：取消一个在战斗中刚触发的暗影效果。,防御,,,,,,,
基础,49,精神,西方的意志,西方的意志,51223bd0-ffd1-11df-a976-0801200c9049,事件,,1,,,,,,,,,,,,,,,,,行动：选择一位玩家。将该玩家的弃牌堆洗回他的牌组。将西方的意志移出游戏。,,,,,,,,
基础,50,精神,意志的考验,意志的考验,51223bd0-ffd1-11df-a976-0801200c9050,事件,,1,,,,,,,,,,,,,,,,,响应：取消一个刚从遭遇牌组展示的卡牌的“展示后”效果。,防御,,,,,,,
基础,51,精神,奋起战斗,奋起战斗,51223bd0-ffd1-11df-a976-0801200c9051,事件,,X,,,,,,,,,,,,,,,,,行动：在任一玩家的弃牌堆中选择一名印刷费用为X的盟友。将该盟友放置进场并由你控制。（所选盟友可隶属任意影响力派系。）,,,,,,,,
基础,52,精神,黑暗中的光芒,黑暗中的光明,51223bd0-ffd1-11df-a976-0801200c9052,事件,,2,,,,,,,,,,,,,,,,,行动：选择一个与玩家交锋的敌军。将该敌军返回场景区。,防御,,,,,,,
基础,53,精神,矮人坟墓,矮人墓穴,51223bd0-ffd1-11df-a976-0801200c9053,事件,,1,,,,,,,,,,,,,,,,,行动：从你的弃牌堆返还一张【精神】卡牌到你的手牌。,,,,,,,,
基础,54,精神,运气或命运,运气或命运,51223bd0-ffd1-11df-a976-0801200c9054,事件,,5,,,,,,,,,,,,,,,,,行动：在任一玩家的弃牌堆中选择一名英雄。将该卡牌放置进场，由其拥有者控制。,,,,,,,,
基础,55,精神,夫人的眷顾,女皇的信任,51223bd0-ffd1-11df-a976-0801200c9055,附属,,2,,,,,,,,,,,,,,,,,"附属到一张英雄牌上。 
所附属英雄获得+1【意志力】。",任务,,,,,,,
基础,56,精神,大地的力量,大地的力量,51223bd0-ffd1-11df-a976-0801200c9056,附属,,1,,,,,,,,,,,,,,,,,"附属到一个地区上。 
所附属地区获得-1【威胁值】。",,,,,,,,
基础,57,精神,突来勇气,突来勇气,51223bd0-ffd1-11df-a976-0801200c9057,附属,,2,,,,,,,,,,,,,,,,,"附属到一名英雄上。 
行动：横置突来勇气，以重置所附属英雄。",,单人,,,,,,
基础,58,学识,宁洛德尔之女,宁若戴尔河之女,51223bd0-ffd1-11df-a976-0801200c9058,盟友,,3,,1,0,0,1,,西尔凡精灵.,,,,,,,,,西尔凡精灵,行动：横置宁若戴尔河之女，以治疗任一英雄的最多2点伤害。,,,,,,,,
基础,59,学识,埃瑞博铁匠,依鲁伯铁匠,51223bd0-ffd1-11df-a976-0801200c9059,盟友,,2,,1,1,1,3,,矮人.工匠.,,,,,,,,,矮人,响应：在你打出依鲁伯铁匠后，从任一玩家的弃牌堆中返回一张最顶部的附属牌到他的手牌。,,,,,,,,
基础,60,学识,赫纳玛斯·河曲,赫纳玛斯·河曲,51223bd0-ffd1-11df-a976-0801200c9060,盟友,*,1,,1,1,0,1,,西尔凡精灵.,,,,,,,,,西尔凡精灵,行动：横置赫纳玛斯·河曲，以查看遭遇牌组顶端的一张卡牌。,,单人,,,,,,
基础,61,学识,铁丘陵矿工,铁丘陵的矿工,51223bd0-ffd1-11df-a976-0801200c9061,盟友,,2,,0,1,2,2,,矮人.,,,,,,,,,矮人,响应：在铁丘陵的矿工进场后，从场中选择并弃除一张状态附属牌,,,,,,,,
基础,62,学识,格利奥威奈,葛理欧温,51223bd0-ffd1-11df-a976-0801200c9062,盟友,*,2,,1,0,0,2,,吟游诗人.洛汗.,,,,,,,,,洛汗,行动：横置葛理欧温，以选择一名玩家。该玩家补一张卡牌。,,,,,,,,
基础,63,学识,伊姆拉缀斯的学识,伊姆拉崔的学识,51223bd0-ffd1-11df-a976-0801200c9063,事件,,2,,,,,,,,,,,,,,,,,行动：选择一名角色。治疗该角色的所有伤害。,,,,,,,,
基础,64,学识,罗瑞恩的财富,罗瑞安的财富,51223bd0-ffd1-11df-a976-0801200c9064,事件,,3,,,,,,,,,,,,,,,,,行动：选择一名玩家。该玩家补三张卡牌。,,,,,,,,
基础,65,学识,拉达加斯特的机敏,瑞达加斯特的狡诈,51223bd0-ffd1-11df-a976-0801200c9065,事件,,1,,,,,,,,,,,,,,,,,任务行动：选择一个在场景区的敌军。该敌军不计算它的【威胁值】直到本阶段结束。,,,,,,,,
基础,66,学识,秘径,幽径,51223bd0-ffd1-11df-a976-0801200c9066,事件,,1,,,,,,,,,,,,,,,,,任务行动：选择一个在场景区的地区。该地区不计算它的【威胁值】直到本阶段结束。,,,,,,,,
基础,67,学识,甘道夫的查阅,甘道夫的搜寻,51223bd0-ffd1-11df-a976-0801200c9067,事件,,X,,,,,,,,,,,,,,,,,行动：查看任一玩家牌组顶端的X张卡牌，将其中一张加入其拥有者的手牌，并将余下的卡牌按任意顺序放回牌组顶端。,,,,,,,,
基础,68,学识,贝奥恩的款待,比翁的款待,51223bd0-ffd1-11df-a976-0801200c9068,事件,,5,,,,,,,,,,,,,,,,,行动：选择一位玩家。治疗该玩家控制的每名英雄的所有伤害。,,,,,,,,
基础,69,学识,森林罗网,森林诱捕网,51223bd0-ffd1-11df-a976-0801200c9069,附属,,3,,,,,,,物品.陷阱.,,,,,,,,,,"附属到一个与玩家交锋的敌军上。 
所附属敌军不能攻击。",防御,,,,,,,
基础,70,学识,罗瑞恩的保护者,罗瑞安守护者,51223bd0-ffd1-11df-a976-0801200c9070,附属,,1,,,,,,,头衔.,,,,,,,,,,"附属到一名英雄上。 
行动：从你的手牌中弃除一张卡牌，以使所附属英雄获得+1【防御力】或+1【意志力】直到本阶段结束。每个阶段限制3次。",,,,,,,,
基础,71,学识,黑暗知识,暗黑学识,51223bd0-ffd1-11df-a976-0801200c9071,附属,,1,,,,,,,状态.,,,,,,,,,,"附属到一名英雄上。 
所附属英雄获得-1【意志力】。 
响应：横置暗黑学识，以查看一张刚分配到攻击你的敌军上的暗影牌。",防御,,,,,,,
基础,72,学识,自我保护,自我保护,51223bd0-ffd1-11df-a976-0801200c9072,附属,,3,,,,,,,技能.,,,,,,,,,,"附属到一名角色上。 
行动：横置自我保护，以治疗所附属角色的2点伤害。",,,,,,,,
基础,73,中立,甘道夫,甘道夫,51223bd0-ffd1-11df-a976-0801200c9073,盟友,*,5,,4,4,4,4,,巫师.,,,,,,,,,巫师,"在本回合结束时，从场中弃除甘道夫。 
响应：在甘道夫进场后，（选择其一）：补三张卡牌，或对一个在场的敌军造成4点伤害，或你的威胁等级下降5点。",,,,,,,,
追捕咕噜,1,学识,比尔博·巴金斯,比尔博·巴金斯,51223bd0-ffd1-11df-a976-0801201c9001.jpg,英雄,*,,9,1,1,2,2,,哈比人.,,,,,,,,,哈比人,起始玩家在资源阶段多补1张卡牌。,,,,,,,,
追捕咕噜,2,领导,杜内丹人的标记,登丹人的标记,51223bd0-ffd1-11df-a976-0801201c9002.jpg,附属,,1,,,,,,,记号.,,,,,,,,,,"附属到一名英雄上。 
所附属英雄获得+1【攻击力】。 
行动：从所附属英雄的资源池中支付1枚资源标记，以使登丹人的标记附属到另一名英雄上。",攻击,,,,,,,
追捕咕噜,3,领导,篝火故事,篝火旁的传说,51223bd0-ffd1-11df-a976-0801201c9003.jpg,事件,,1,,,,,,,,,,,,,,,,,行动：每位玩家补一张卡牌。,,多人,,,,,,
追捕咕噜,4,战术,守护之翼,守护之翼,51223bd0-ffd1-11df-a976-0801201c9010.jpg,盟友,,2,,0,0,4,1,,"生物.
巨鹰.",√,,,,,,,,巨鹰,"警戒.
守护之翼不受“限制”附属。 
强制：在守护之翼参与防御的攻击结算后，支付1枚战术资源标记或从场中弃除守护之翼。",防御,多人,,,,,,
追捕咕噜,5,战术,大鹰来了,巨鹰来了,51223bd0-ffd1-11df-a976-0801201c9008.jpg,事件,,0,,,,,,,巨鹰.,,,,,,,,,巨鹰,行动：从你牌组顶端的五张卡牌中搜寻任意数量的巨鹰卡牌并加入你的手牌。将余下的卡牌洗回你的牌组。,,,,,,,,
追捕咕噜,6,精神,西伏尔德驯马师,西谷驯马师,51223bd0-ffd1-11df-a976-0801201c9009.jpg,盟友,,2,,1,0,1,1,,洛汗.,,,,,,,,,洛汗,行动：弃除西谷驯马师，以选择并重置一名英雄。,,,,,,,,
追捕咕噜,7,精神,洛汗集结,洛汗集结,51223bd0-ffd1-11df-a976-0801201c9004.jpg,事件,,1,,,,,,,,,,,,,,,,,行动：从你牌组顶端的十张卡牌中搜寻任意一张洛汗盟友牌并加入你的手牌，然后，将余下的卡牌洗回你的牌组。,,,,,,,,
追捕咕噜,8,学识,幽谷吟游诗人,瑞文戴尔乐手,51223bd0-ffd1-11df-a976-0801201c9005.jpg,盟友,,3,,2,0,0,1,,诺多精灵.,,,,,,,,,诺多精灵,响应：在从你的手牌中打出瑞文戴尔乐手后，从你的牌组中搜寻一张歌谣卡牌并加入你的手牌。将你的牌组洗牌。,,,,,,,,
追捕咕噜,9,学识,大步佬之路,神行客之路,51223bd0-ffd1-11df-a976-0801201c9007.jpg,事件,,1,,,,,,,,,,,,,,,,,响应：在一个地区从遭遇牌组中被展示后，立即探索到该地区，无需结算探索效果。如果当前有激活地区，将其返回场景区。,,,,,,,,
追捕咕噜,10,中立,国王之歌,国王之歌,51223bd0-ffd1-11df-a976-0801201c9006.jpg,附属,,1,a,,,,,,歌谣.,,,,,,,,,,"附属到一名英雄上。 
所附属英雄获得【领导】资源符号。",,,,,,,,
激战卡洛克,25,精神,弗罗多·巴金斯,佛罗多·巴金斯,51223bd0-ffd1-11df-a976-0801202c9001.jpg,英雄,*,,7,2,1,2,2,,哈比人.,,,,,,,,,哈比人,响应：在佛罗多·巴金斯受到伤害后，取消该伤害并以你的威胁等级上升与他本该被分配伤害标记数量相等的点数代替。（每个阶段限制1次）,防御,,,,,,,
激战卡洛克,26,领导,杜内丹人的警告,登丹人的警示,51223bd0-ffd1-11df-a976-0801202c9008.jpg,附属,,1,,,,,,,记号.,,,,,,,,,,"附属到一名英雄上。 
所附属英雄获得+1【防御力】。 
行动：从所附属英雄的资源池中支付1枚资源标记，以使登丹人的警示附属到另一名英雄上。",防御,,,,,,,
激战卡洛克,27,领导,第二顿早餐,第二顿早餐,51223bd0-ffd1-11df-a976-0801202c9024.jpg,事件,,1,,,,,,,,,,,,,,,,,行动：每位玩家从他的弃牌堆中返回一张最顶部的附属牌到他的手牌。,,,,,,,,
激战卡洛克,28,战术,贝奥恩养蜂人,比翁养蜂人,51223bd0-ffd1-11df-a976-0801202c9006.jpg,盟友,,4,,1,2,1,3,,比翁一族.,,,,,,,,,比翁一族,行动：从场中弃除比翁养蜂人，以对场景区中的每个敌军造成1点伤害,攻击,多人,,,,,,
激战卡洛克,29,战术,空中重生,空中重生,51223bd0-ffd1-11df-a976-0801202c9007.jpg,附属,,0,,,,,,,状态.,,,,,,,,,,"附属到一名盟友上。 
行动：从场中弃除空中重生，以使所附属盟友返回其拥有者的手牌。",,,,,,,,
激战卡洛克,30,精神,伊奥蒙德,伊欧蒙德,51223bd0-ffd1-11df-a976-0801202c9009.jpg,盟友,*,3,,2,1,1,2,,洛汗.,,,,,,,,,洛汗,响应：在伊欧蒙德离场后，重置在场的所有洛汗角色。,,多人,,,,,,
激战卡洛克,31,精神,我并不是陌生人,我并非陌生人,51223bd0-ffd1-11df-a976-0801202c9018.jpg,附属,,1,,,,,,,头衔.,,,,,,,,,,"附属到一名角色上。 
所附属角色获得洛汗属性。",,,,,,,,
激战卡洛克,32,学识,长须制图者,长须制图者,51223bd0-ffd1-11df-a976-0801202c9014.jpg,盟友,,3,,1,1,1,3,,矮人.,,,,,,,,,矮人,行动：支付1枚【学识】资源标记，以使长须制图者获得+1【意志力】直到本阶段结束。,,,,,,,,
激战卡洛克,33,学识,燃烧的火把,燃烧的木棍,51223bd0-ffd1-11df-a976-0801202c9010.jpg,附属,,2,,,,,,,物品.,,,√,,,,,,,"附属到一名【学识】角色上。限制.
当所附属角色防御时，横置燃烧的木棍以取消一个在战斗中刚触发的暗影效果。",防御,,,,,,,
激战卡洛克,34,中立,智慧之歌,智慧之歌,51223bd0-ffd1-11df-a976-0801202c9025.jpg,附属,,1,,,,,,,歌谣.,,,,,,,,,,"附属到一名英雄上 
所附属英雄获得【学识】资源符号。",,,,,,,,
罗斯加堡之旅,50,领导,伊姆拉希尔亲王,印拉希尔王子,51223bd0-ffd1-11df-a976-0801203c9001.jpg,英雄,*,,11,2,3,2,4,,刚铎.贵族.,,,,,,,,,刚铎,响应：在一名角色离场后，重置印拉希尔王子。（每回合限制1次）,攻击,多人,,,,,,
罗斯加堡之旅,51,领导,杜内丹人的探险,登丹人的任务,51223bd0-ffd1-11df-a976-0801203c9008.jpg,附属,,2,,,,,,,记号.,,,,,,,,,,"附属到一名英雄上。
所附属英雄获得+1【意志力】。
行动：从所附属英雄的资源池中支付1枚资源标记，以使登丹人的任务附属到另一名英雄上。",任务,,,,,,,
罗斯加堡之旅,52,领导,临别的礼物,临别的礼物,51223bd0-ffd1-11df-a976-0801203c9007.jpg,事件,,0,,,,,,,,,,,,,,,,,行动：将任意数量的资源标记从一名领导英雄的资源池中移至另一名英雄的资源池中。 ,,,,,,,,
罗斯加堡之旅,53,战术,蓝德洛瓦,兰楚瓦,51223bd0-ffd1-11df-a976-0801203c9004.jpg,盟友,*,5,,1,3,1,4,,"生物.
巨鹰.",√,,,,,,,,巨鹰,"警戒.
兰楚瓦不受“限制”附属。
响应：在一名英雄被消灭后，将兰楚瓦返回其拥有者的手牌，以使该英雄放回场中，并具有1枚伤害标记。（每局游戏限制1次）",攻击,多人,,,,,,
罗斯加堡之旅,54,战术,飞往鹰巢,飞往鹰巢,51223bd0-ffd1-11df-a976-0801203c9010.jpg,事件,,2,,,,,,,,,,,,,,,,,响应：在一名盟友被消灭后，横置一名巨鹰角色，以使该盟友从弃牌堆移至其拥有者的手牌。,,,,,,,,
罗斯加堡之旅,55,精神,埃多拉斯护卫队,伊多拉斯护卫队,51223bd0-ffd1-11df-a976-0801203c9009.jpg,盟友,,2,,2,0,0,1,,洛汗.,,,,,,,,,洛汗,"在指派伊多拉斯护卫队执行任务时，其获得+2【意志力】。
强制：在伊多拉斯护卫队被指派执行的任务结算后，从场中弃除伊多拉斯护卫队。",任务,,,,,,,
罗斯加堡之旅,56,精神,古老的马松,古老的马松,51223bd0-ffd1-11df-a976-0801203c9005.jpg,附属,,1,,,,,,,马松.,,,,,,,,,,"附属到一个地区上。
响应：在所附属地区被完全探索后，起始玩家补三张卡牌。",,,,,,,,
